id,genre,distance,dept,population,naissance,groupe,pc_2019,pc_2020,ih_2019,ih_2020,ic_2019,ic_2020,sp_2019,sp_2020,qe_2019,qe_2020,ap_2019,ap_2020,tor
280,H,263,21,532026,1956,LREM,74,22,41,13,60,0,23,14,8,7,93,24,0.372406088535121
282,H,393,16,348997,1957,SOC,14,13,4,46,5,0,15,10,15,20,0,45,0.150776358147393
283,F,42,77,1432475,1967,MODEM,33,8,67,7,46,1,23,11,4,12,80,8,0.670052702578345
284,H,392,69,1892753,1969,LREM,49,10,301,3,317,1,23,12,2,4,204,7,0.324581145286322
286,H,379,22,599118,1990,LREM,18,11,6,6,12,0,16,17,3,2,0,1,0.169444376715242
287,H,343,44,1458768,1954,LREM,64,11,8,9,44,0,22,10,9,2,29,5,0.221624069339017
288,H,90,27,595037,1978,LREM,25,22,6,1,11,0,20,10,8,25,1,4,0.187244440787068
289,H,588,31,1424915,1957,LREM,45,7,2,6,11,6,20,13,0,22,9,20,0.177860462273925
291,F,436,74,838480,1979,LR,46,29,78,27,17,29,21,16,16,36,37,46,0.324581145286322
293,H,595,34,1196633,1958,LREM,16,1,0,0,5,0,15,4,7,25,50,4,0.177860462273925
294,H,121,2,525503,1948,LREM,20,11,1,4,13,0,18,11,7,8,0,0,0.379909828123325
295,F,199,8,265099,1959,LR,27,15,25,2,27,7,19,12,19,25,26,9,0.552756977921241
296,F,18,78,1452910,1970,LREM,66,56,15,52,249,76,23,25,2,3,1,24,0.670052702578345
297,H,400,56,763103,1962,MODEM,41,12,18,9,37,0,21,12,3,0,16,14,0.169444376715242
298,H,379,68,763801,1976,AE,21,26,57,46,30,5,21,19,6,0,34,14,0.552756977921241
300,F,90,27,595037,1949,LREM,17,5,1,1,5,0,22,11,16,40,10,12,0.187244440787068
301,H,482,38,1271078,1978,LREM,63,12,34,20,20,0,23,8,6,0,4,0,0.324581145286322
302,F,205,37,609408,1959,MODEM,39,41,7,2,75,3,22,23,5,5,1,11,0.284554287664887
304,F,686,6,1089270,1972,LR,19,8,17,7,21,0,19,6,26,32,76,15,0.274464560017555
305,H,111,45,683998,1953,LR,22,12,4,0,22,0,17,8,15,0,0,0,0.284554287664887
306,H,397,67,1147474,1972,LREM,66,16,84,13,108,0,24,12,3,1,105,15,0.552756977921241
307,H,162,62,1455018,1950,LREM,82,37,2,0,11,0,24,13,2,0,0,0,0.379909828123325
309,F,392,69,1892753,1980,LREM,15,10,3,3,20,0,15,9,3,12,0,2,0.324581145286322
311,H,437,15,143280,1955,LR,37,8,47,0,58,0,21,8,12,5,126,19,0.324581145286322
312,H,397,67,1147474,1949,LR,25,14,91,42,39,3,17,13,17,27,72,47,0.552756977921241
313,H,399,17,652474,1968,LREM,79,12,78,0,92,26,25,6,12,6,137,49,0.150776358147393
314,H,162,62,1455018,1976,NI,18,4,11,4,0,0,19,6,31,34,15,14,0.379909828123325
315,F,9,93,1669340,1960,LFI,54,13,49,80,78,40,21,17,12,9,49,86,0.670052702578345
